,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
10,0.849129,0.862604,1.005122,1.640097,1.09086,0.717632,0.675738,1.092018,0.311622,0.668657,0.494483,1.569659,1.166201,0.455596,0.604948,0.335315,0.475657,0.641974,0.641405,0.761947,0.760516,0.57219,0.740226,0.795936,0.622116,0.510441,0.800839,0.673349,0.90853,0.608245,1.055687,1.486945,0.791325,0.660017,0.563134,0.980966,0.96783,0.498953,0.750509,0.524219,1.085788,1.452792,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588141,0.789121,0.63903,1.321746,1.180621,0.924797,0.242292,0.29288,0.215859,0.310107,0.500913,0.509749,0.81257,1.462847,1.939585,0.924828,1.604504,0.871675,0.568342,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.630962,1.230375,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.849129,0.862604,1.005122,1.640097,1.09086,0.376994,0.761525,0.433625,0.38045,0.25316,0.084587,0.076847,0.168908,0.130043,0.362684,0.145969,0.127735,0.143466,0.145839,0.247475,0.315723,0.457076,0.474191,0.544735,0.36987,0.503889,0.509666,0.394307,0.347334,0.475134,0.322539,0.504893,0.742655,0.389917,0.341041,0.311614,0.513811,0.485458,0.247466,0.33527,0.377417,0.563621,0.395503,0.781865,1.084796,0.514865,0.55732,0.586699,0.862838,0.592602,0.377125,0.587972,0.474911,1.136062,0.688085,0.539571,0.420197,0.798318,0.405778,0.446587,1.151914,0.980793,0.8742,0.683443,0.242248,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.690838,1.197276,1.230727,0.409354,0.383825,0.092221,0.181761,0.166343,0.301604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.849129,0.86278,1.005122,1.640097,1.090816,0.717632,0.675738,1.091974,0.311622,0.668657,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.11589,0.57952,1.486461,0.742655,0.341041,0.311614,0.513767,0.562958,0.980658,0.967522,0.377329,0.563445,0.258675,0.514082,0.765733,0.32627,0.345793,0.397825,0.525793,0.372993,1.128733,0.775661,0.377037,0.587796,0.474779,1.136018,0.688085,0.539571,0.420197,0.798318,0.405778,0.446587,1.151914,0.980793,0.8742,0.683443,0.242248,0.292792,0.215815,0.310019,0.500781,0.509617,0.812306,1.462407,0.672979,1.189325,0.66453,0.436211,0.346528,0.314829,0.936385,0.431345,0.310184,0.284676,0.458119,0.582889,0.758223,0.769518,0.743311,0.928999,1.025939,1.256043,2.705429,2.308861,1.630962,1.230375,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.849085,0.862604,1.005122,1.640097,1.090816,0.717632,0.508369,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.11589,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084444,0.514733,0.557144,0.586523,0.862574,0.592426,0.377037,0.587796,0.474779,1.135974,0.688085,0.539571,0.420197,0.798318,0.405778,0.446587,1.15187,0.980793,0.8742,0.683443,0.242248,0.292792,0.215815,0.310019,0.500781,0.509617,0.812306,1.462363,0.672979,1.189281,0.66453,0.436211,0.346528,0.314829,0.936385,0.431345,0.310184,0.284676,0.458119,0.371061,0.640818,0.827582,1.049673,1.056865,1.025939,1.255999,2.705341,2.308773,1.630918,1.230331,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.849129,0.862868,1.005298,1.640097,1.090816,0.717632,0.675738,1.091974,0.311622,0.517836,0.388565,1.165849,0.777761,0.304338,1.570099,0.604948,0.335315,0.475657,0.508658,0.641405,0.761947,0.760516,0.57219,0.740226,0.79576,0.62194,1.048376,0.800575,0.510309,0.685296,0.454759,0.784089,1.115934,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084488,0.514733,0.557144,0.586523,0.862574,0.592426,0.377037,0.587796,0.474779,1.136018,0.635356,1.518623,0.901063,0.745316,0.563371,1.072615,0.536881,0.594518,1.587657,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.045261,0.395336,0.390761,1.690838,0.831199,0.414298,0.254179,0.110998,0.111874,0.119032,0.095877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.849129,0.862868,1.005298,1.640097,1.090816,0.526333,0.675738,0.717632,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,1.046837,0.756621,0.975347,1.048376,0.800575,0.673129,0.908266,0.608069,1.055335,1.486461,0.791061,0.659797,0.562958,0.980658,0.513811,0.485458,0.247466,0.96783,0.498953,0.750509,0.524219,0.781865,1.084796,0.514865,0.55732,0.586699,0.862838,0.592602,0.377125,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588141,1.321746,1.180621,0.924797,0.313158,0.378328,0.277563,0.384146,0.648021,0.667295,1.077598,1.939013,1.462847,0.673199,0.924828,1.604504,0.871675,0.56843,0.346616,0.314917,0.936693,0.431477,0.310272,0.284764,0.458251,0.583065,0.640994,0.827846,1.050025,1.057217,1.026247,1.256395,2.705957,0.921405,0.831199,0.792469,2.309521,1.631446,0.853401,0.295438,0.281022,0.092221,0.181761,0.166343,0.0,0.0,0.0
16,0.849085,0.862604,1.005122,1.640097,1.090816,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.11589,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.781645,1.084444,1.085436,1.452308,0.67413,0.730002,0.786394,1.128689,0.775661,0.519627,0.769077,0.635356,1.518579,0.901063,0.745316,0.563371,1.072571,0.536881,0.594518,1.587613,1.321306,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.07729,1.938969,0.994088,0.461154,0.815507,0.924828,1.604504,1.189677,0.66475,0.56843,0.460104,0.314917,0.936693,0.431477,0.310272,0.284764,0.458251,0.583065,0.758443,0.769738,0.743531,0.929307,2.045261,1.690838,1.197276,0.853401,0.295438,0.281022,0.092221,0.181761,0.166343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.849129,0.862604,1.005122,1.640097,1.090816,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,0.263329,0.604772,0.335227,0.475525,0.641798,0.867512,0.9934,1.046837,0.756621,0.975347,1.048376,0.800575,0.673129,0.908266,0.608069,1.055335,1.486461,0.742655,0.389917,0.791325,0.660017,0.563134,0.980966,0.718941,0.377417,0.563621,0.395503,0.781865,1.084796,0.514865,0.55732,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588141,1.321746,1.180621,0.924797,0.313158,0.378328,0.277563,0.384146,0.648021,0.667295,1.077642,0.590249,0.994088,1.939585,0.461154,0.815507,0.464454,1.604504,0.871675,0.436343,0.346616,0.218043,0.6406,0.280624,0.205754,0.180035,0.263819,0.342654,0.462966,0.827846,1.050025,1.057217,1.026247,1.256395,2.706221,2.309521,1.631446,1.230727,0.409354,0.383825,0.115373,0.228562,0.206274,0.0,0.0,0.0,0.0,0.0,0.0
18,0.849085,0.862604,1.005122,1.640097,1.090816,0.526333,0.508369,0.830933,0.25541,0.517836,0.388565,1.165849,0.455464,1.569615,0.263417,0.370447,0.508658,0.475657,0.641405,0.474191,0.544735,0.36987,0.503889,0.509666,0.394307,0.347334,0.475134,0.510441,0.685516,0.454891,0.784309,1.116242,0.579696,0.486205,0.423904,0.660017,0.563134,0.980966,0.96783,0.498953,0.750509,0.524219,1.085788,1.452792,0.674218,0.730002,0.786394,1.128733,0.775661,0.519627,0.769077,0.635356,1.518623,0.901063,0.745316,0.563371,1.072615,0.536881,0.594518,1.587657,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,1.690354,1.196924,0.853137,0.29535,0.280934,0.092221,0.181717,0.166299,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.849129,0.862604,1.005122,1.640097,1.09086,0.717632,0.675738,0.830933,0.25541,0.517836,0.388565,1.165893,0.455464,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.115934,0.57952,0.486073,0.423772,0.659797,0.562958,0.980658,0.967522,0.498821,0.750289,0.524087,1.08548,1.452352,0.67413,0.730002,0.786394,1.128733,0.525969,0.373081,0.232174,0.775881,0.519759,0.769297,0.635532,1.136326,0.688305,0.539747,0.420329,0.798582,0.40591,0.446719,1.152222,0.594694,1.588141,1.321702,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.994088,0.461154,0.92452,1.60402,0.871411,0.436211,0.346528,0.314829,0.936385,0.431345,0.310184,0.284676,0.458119,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.045261,2.308861,1.630962,1.230375,0.409222,0.280934,0.092221,0.181717,0.166299,0.0,0.0,0.0,0.0,0.0,0.0
